startTime,endTime,aveH,aveV
14644741,14644867,993.599975585938,307.399993896484
14644883,14646385,961.200012207031,315.600006103516
14646397,14646757,938,294.899993896484
14646889,14647633,944.700012207031,318
14647645,14650161,929.299987792969,312.100006103516
14650171,14650425,900.299987792969,281.399993896484
14650435,14650507,922.5,275.5
14650529,14650639,861.099975585938,286.299987792969
14650661,14654757,897.5,283.600006103516
14654809,14655411,903.400024414063,656.400024414063
14655437,14656061,914.900024414063,482.299987792969
14656075,14656749,892.700012207031,540
14656765,14656999,946.900024414063,545.099975585938
14657009,14658251,917.299987792969,557
14658269,14659745,929.200012207031,638.299987792969
14659765,14660795,932.299987792969,594.900024414063
14660825,14660945,981.5,332.600006103516
14660957,14661173,961.900024414063,293.899993896484
14661301,14662071,943.700012207031,302.399993896484
14662083,14662283,980.099975585938,298.100006103516
14662293,14662963,941.299987792969,303.200012207031
14662975,14663071,948.299987792969,309
14663093,14663211,895.299987792969,314.600006103516
14663233,14665567,956.299987792969,309.5
14665625,14665761,578.599975585938,398.299987792969
14665803,14666049,941.700012207031,304.100006103516
14666155,14667573,942.200012207031,308.299987792969
14667583,14669147,954.400024414063,316.299987792969
14669297,14669481,907.700012207031,303.700012207031
14669495,14671677,947.400024414063,321.299987792969
14671687,14671943,959.099975585938,318.600006103516
14671955,14672601,947.599975585938,334.899993896484
14672631,14673207,929.400024414063,583.5
14673235,14673427,952.299987792969,286.299987792969
14673441,14678897,961.400024414063,260
14678905,14679077,967.400024414063,289.700012207031
14679223,14680067,979.900024414063,301.200012207031
14680203,14680459,1332.09997558594,247.899993896484
14680497,14680717,984,280.399993896484
14680855,14680969,1041.5,221.800003051758
14680995,14683045,950,296.399993896484
14683057,14683187,968.599975585938,302.899993896484
14683195,14683811,951.799987792969,318.399993896484
14683955,14685201,957.400024414063,288.299987792969
14685211,14685893,950.099975585938,286.799987792969
14686045,14686247,909.5,315.200012207031
14686263,14688029,959.599975585938,284.100006103516
14688047,14688143,879.599975585938,284.399993896484
14688167,14690437,936.200012207031,277.700012207031
14690457,14691241,953.099975585938,223.899993896484
14691253,14691641,950.5,214.199996948242
